wk_code,wk_naam,jaar,number_of_rental,number_rooms,number_apartments,distance,travel_time,VUTravel,lbm,afw,fys,onv,soc,vrz,won,lbmVUDistance,lbmVUTravelTime,lbmRental,lbmRoomsStudios,lbmApartments,lbmDistanceRoomsStudios,lbmDistanceApartments,lbmDistanceRental,lbmDistanceTravel,lbmTravelRental,lbmTravelRoomsStudios,lbmTravelApartments,lbmDistanceTravelRooms,lbmDistanceTravelApartments,lbmVUScore,VUDistanceScore,RoomsStudiosScore,ApartmentsScore,Rental,DistanceRoomsStudios,DistanceApartments,DistanceRental,DistanceTravel,TravelRental,TravelRoomsStudios,TravelApartments,DistanceTravelRooms,DistanceTravelApartments,VUScore
WK036201,Randwijck,2022,1,7,3,3.100000000000000,20,0.050000000000000,4.328186939975703,0.225922088832018,-0.007289500760402,0.054136824888332,-0.003791212314079,0.189008223824314,-0.006142246806147,4.306670556890527,4.378186939975703,4.454196829975703,5.210256169975703,4.706216609975703,5.188739786890527,4.684700226890527,4.432680446890527,4.356670556890527,4.504196829975703,5.260256169975703,4.756216609975703,5.238739786890527,4.734700226890527,4.482680446890527,-0.021516383085176,0.882069230000000,0.378029670000000,0.504039560000000,0.860552846914824,0.356513286914824,0.104493506914824,0.028483616914824,0.176009890000000,0.932069230000000,0.428029670000000,0.910552846914824,0.406513286914824,0.154493506914824
WK036202,Patrimonium,2022,2,1,1,4.100000000000000,24,0.050000000000000,4.325796064141405,0.223531212997719,0.022166160650996,0.024020758087836,-0.012533323809023,0.162491724644488,0.027385893423423,4.298962689918218,4.375796064141404,4.577815844141405,4.451805954141404,4.451805954141404,4.424972579918218,4.424972579918218,4.550982469918218,4.348962689918218,4.627815844141405,4.501805954141404,4.501805954141404,4.474972579918218,4.474972579918218,4.600982469918218,-0.026833374223186,0.126009890000000,0.126009890000000,0.378029670000000,0.099176515776814,0.099176515776814,0.225186405776814,0.023166625776814,0.302019780000000,0.176009890000000,0.176009890000000,0.149176515776814,0.149176515776814,0.275186405776814
WK036203,Elsrijk,2022,5,0,5,3.600000000000000,23,0.050000000000000,4.288071414216676,0.185806563072991,-0.006833370634044,0.030831992792697,-0.012480054600532,0.175292038846311,-0.001004043331443,4.263711318857294,4.338071414216676,4.918120864216677,4.288071414216676,4.918120864216677,4.263711318857294,4.893760768857295,4.893760768857295,4.313711318857294,4.968120864216676,4.338071414216676,4.968120864216676,4.313711318857294,4.943760768857294,4.943760768857294,-0.024360095359383,0.000000000000000,0.630049450000000,1.260098900000000,-0.024360095359383,0.605689354640617,0.605689354640617,0.025639904640617,0.680049450000000,0.050000000000000,0.680049450000000,0.025639904640617,0.655689354640618,0.655689354640618
WK036204,Stadshart,2022,10,4,6,4.600000000000000,20,0.050000000000000,4.189870890176820,0.087606039033135,0.014988352250932,-0.020257915674693,-0.034712464458283,0.164547658939265,-0.036959592024086,4.160849190727919,4.239870890176820,5.449969790176820,4.693910450176820,4.945930230176820,4.664888750727918,4.916908530727919,5.420948090727919,4.210849190727918,5.499969790176820,4.743910450176820,4.995930230176820,4.714888750727918,4.966908530727919,5.470948090727918,-0.029021699448902,0.504039560000000,0.756059340000000,2.016158240000000,0.475017860551098,0.727037640551098,1.231077200551098,0.020978300551098,1.310098900000000,0.554039560000000,0.806059340000000,0.525017860551098,0.777037640551098,1.281077200551098
WK036205,"Uilenstede, Kronenburg",2022,13,12,1,2.300000000000000,17,0.075000000000000,4.054529948582003,-0.047734902561683,0.006191225972665,-0.076484109397265,-0.011590873021570,0.174583014102908,-0.140434160218421,4.038690140982040,4.129529948582003,5.692658518582003,5.566648628582003,4.180539838582003,5.550808820982041,4.164700030982040,5.676818710982040,4.113690140982040,5.767658518582003,5.641648628582003,4.255539838582003,5.625808820982041,4.239700030982040,5.751818710982040,-0.015839807599962,1.512118680000000,0.126009890000000,1.764138460000000,1.496278872400038,0.110170082400038,1.622288762400038,0.059160192400038,1.713128570000000,1.587118680000000,0.201009890000000,1.571278872400038,0.185170082400038,1.697288762400038
WK036206,"Bankras, Kostverloren",2022,6,2,4,3.600000000000000,23,0.050000000000000,4.173881269751701,0.071616418608015,0.002243150947601,0.019759133127457,-0.039364744911625,0.122861413671221,-0.033882534226639,4.149521174392318,4.223881269751701,4.929940609751701,4.425901049751701,4.677920829751701,4.401540954392319,4.653560734392318,4.905580514392319,4.199521174392318,4.979940609751701,4.475901049751701,4.727920829751700,4.451540954392319,4.703560734392318,4.955580514392318,-0.024360095359383,0.252019780000000,0.504039560000000,1.260098900000000,0.227659684640617,0.479679464640618,0.731699244640618,0.025639904640617,0.806059340000000,0.302019780000000,0.554039560000000,0.277659684640618,0.529679464640618,0.781699244640618
WK036207,Buitengebied Noord,2022,2,1,1,4.600000000000000,36,0.000000000000000,4.428655758459171,0.326390907315486,-0.000341579183724,0.106538657107365,0.071914922408762,0.064611017283991,0.083667889699092,4.399634059010269,4.428655758459171,4.680675538459171,4.554665648459171,4.554665648459171,4.525643949010269,4.525643949010269,4.651653839010270,4.399634059010269,4.680675538459171,4.554665648459171,4.554665648459171,4.525643949010269,4.525643949010269,4.651653839010270,-0.029021699448902,0.126009890000000,0.126009890000000,0.378029670000000,0.096988190551098,0.096988190551098,0.222998080551098,-0.029021699448902,0.252019780000000,0.126009890000000,0.126009890000000,0.096988190551098,0.096988190551098,0.222998080551098
WK036208,Keizer Karelpark,2022,8,2,6,5.500000000000000,26,0.050000000000000,4.197002919805144,0.094738068661458,0.008897132083477,0.015796987739519,-0.025171268512320,0.128347307207783,-0.033132089857002,4.164582958198404,4.247002919805143,5.205082039805143,4.449022699805144,4.953062259805144,4.416602738198404,4.920642298198404,5.172662078198403,4.214582958198403,5.255082039805144,4.499022699805144,5.003062259805144,4.466602738198404,4.970642298198404,5.222662078198404,-0.032419961606740,0.252019780000000,0.756059340000000,1.764138460000000,0.219599818393260,0.723639378393260,0.975659158393260,0.017580038393260,1.058079120000000,0.302019780000000,0.806059340000000,0.269599818393260,0.773639378393260,1.025659158393260
WK036209,Groenelaan,2022,7,4,3,6.000000000000000,26,0.050000000000000,4.068028551524034,-0.034236299619651,0.004694972027661,-0.013382498647864,-0.073011606681740,0.084260449152599,-0.036797615470306,4.033953855405963,4.118028551524034,4.950097781524034,4.572068111524034,4.446058221524035,4.537993415405963,4.411983525405963,4.916023085405963,4.083953855405963,5.000097781524034,4.622068111524034,4.496058221524034,4.587993415405963,4.461983525405963,4.966023085405963,-0.034074696118071,0.504039560000000,0.378029670000000,1.260098900000000,0.469964863881929,0.343954973881929,0.847994533881929,0.015925303881929,0.932069230000000,0.554039560000000,0.428029670000000,0.519964863881929,0.393954973881929,0.897994533881929
WK036210,"Waardhuizen, Middenhoven",2022,3,2,1,6.500000000000000,21,0.050000000000000,4.124376714731274,0.022111863587588,0.005306294149694,0.032581621788364,-0.040872166133070,0.025004589986456,0.000091523796144,4.088779810422157,4.174376714731274,4.502406384731274,4.376396494731274,4.250386604731274,4.340799590422157,4.214789700422156,4.466809480422157,4.138779810422156,4.552406384731274,4.426396494731274,4.300386604731274,4.390799590422157,4.264789700422156,4.516809480422157,-0.035596904309117,0.252019780000000,0.126009890000000,0.504039560000000,0.216422875690883,0.090412985690883,0.342432765690883,0.014403095690883,0.428029670000000,0.302019780000000,0.176009890000000,0.266422875690883,0.140412985690883,0.392432765690883
